Read times - Voltage  graph;Voltage(V) - Voltage  graph;Read times - Current graph;Current(A) - Current graph;;;;
573;5,113;573;0,3263;;;;
574;5,112;574;0,3263;;;;
575;5,112;575;0,3259;;;;
576;5,113;576;0,3259;;;;
577;5,113;577;0,3259;;;;
578;5,113;578;0,3259;;;;
579;5,113;579;0,3055;;;;
580;5,117;580;0,3055;;;;
581;5,117;581;0,3054;;;;
582;5,113;582;0,3054;;;;
583;5,113;583;0,3235;;;;
584;5,115;584;0,3235;;;;
585;5,115;585;0,3237;;;;
586;5,113;586;0,3237;;;;
587;5,113;587;0,3273;;;;
588;5,114;588;0,3273;;;;
589;5,114;589;0,3249;;;;
590;5,113;590;0,3249;;;;
591;5,113;591;0,3271;;;;
592;5,114;592;0,3271;;;;
593;5,114;593;0,3251;;;;
594;5,113;594;0,3251;;;;
595;5,113;595;0,3277;;;;
596;5,118;596;0,3277;;;;
597;5,118;597;0,3039;;;;
598;5,117;598;0,3039;;;;
599;5,117;599;0,3098;;;;
600;5,114;600;0,3098;;;;
601;5,114;601;0,322;;;;
602;5,114;602;0,322;;;;
603;5,114;603;0,3288;;;;
604;5,114;604;0,3288;;;;
605;5,114;605;0,3241;;;;
606;5,113;606;0,3241;;;;
607;5,113;607;0,329;;;;
608;5,114;608;0,329;;;;
609;5,114;609;0,3239;;;;
610;5,113;610;0,3239;;;;
611;5,113;611;0,3281;;;;
612;5,113;612;0,3281;;;;
613;5,113;613;0,313;;;;
614;5,116;614;0,313;;;;
615;5,116;615;0,3081;;;;
616;5,117;616;0,3081;;;;
617;5,117;617;0,3218;;;;
618;5,114;618;0,3218;;;;
619;5,114;619;0,3257;;;;
620;5,113;620;0,3257;;;;
621;5,113;621;0,3253;;;;
622;5,114;622;0,3253;;;;
623;5,114;623;0,3294;;;;
624;5,114;624;0,3294;;;;
625;5,114;625;0,3241;;;;
626;5,113;626;0,3241;;;;
627;5,113;627;0,3283;;;;
628;5,113;628;0,3283;;;;
629;5,113;629;0,3237;;;;
630;5,113;630;0,3237;;;;
631;5,113;631;0,3079;;;;
632;5,116;632;0,3079;;;;
633;5,116;633;0,3035;;;;
634;5,115;634;0,3035;;;;
635;5,115;635;0,3259;;;;
636;5,113;636;0,3259;;;;
637;5,113;637;0,3214;;;;
638;5,113;638;0,3214;;;;
639;5,113;639;0,3286;;;;
640;5,112;640;0,3286;;;;
641;5,112;641;0,3237;;;;
642;5,113;642;0,3237;;;;
643;5,113;643;0,3285;;;;
644;5,113;644;0,3285;;;;
645;5,113;645;0,3243;;;;
646;5,113;646;0,3243;;;;
647;5,113;647;0,3279;;;;
648;5,113;648;0,3279;;;;
649;5,113;649;0,3039;;;;
650;5,117;650;0,3039;;;;
651;5,117;651;0,3075;;;;
652;5,114;652;0,3075;;;;
